City_ID,City,Country,lat,lng,Max Temp,% Humidity,% Cloudiness,Wind Speed (mph),Weather Description
243,Magadan,RU,59.5667,150.8,18.14,71,100,1.3,overcast clouds
244,Cananeia,BR,-25.0147,-47.9267,69.6,91,100,4.79,overcast clouds
245,Nagothana,IN,18.5333,73.1333,72.91,81,96,1.16,overcast clouds
246,Sao Francisco De Assis,BR,-29.5503,-55.1311,63.68,80,100,7.96,overcast clouds
247,Nanortalik,GL,60.1432,-45.2371,35.73,92,100,8.57,overcast clouds
248,Youghal,IE,51.95,-7.8506,40.21,100,12,6.35,few clouds
249,Chochola,MX,20.75,-89.8333,84.22,76,85,8.12,overcast clouds
250,Ambulu,ID,-8.345,113.6058,80.8,80,3,1.63,clear sky
251,Gilgit,PK,35.9221,74.3087,56.08,56,100,2.37,overcast clouds
252,Panlaitan,PH,12.1191,119.8486,82.2,67,100,3.09,overcast clouds
253,Bandarbeyla,SO,9.4942,50.8122,76.6,86,2,1.3,clear sky
254,Hattiesburg,US,31.3271,-89.2903,73.33,49,0,3.44,clear sky
255,El Alto,PE,-4.2714,-81.2147,70.75,80,100,17.0,overcast clouds
256,Norman Wells,CA,65.282,-126.8329,5.04,39,20,0.0,few clouds
257,Bambous Virieux,MU,-20.3428,57.7575,76.21,100,75,6.91,moderate rain
258,Broken Hill,AU,-31.95,141.4333,67.71,34,62,1.14,broken clouds
259,Orthez,FR,43.4884,-0.7724,38.77,84,6,3.47,clear sky
260,Lakes Entrance,AU,-37.8811,147.981,61.16,95,100,15.39,overcast clouds
261,Itamaraca,BR,-7.7478,-34.8256,82.45,80,16,7.58,few clouds
262,Matara,LK,5.9485,80.5353,76.39,86,12,1.23,few clouds
263,Vestmanna,FO,62.1564,-7.1664,43.72,87,75,19.57,broken clouds
264,Honiara,SB,-9.4333,159.95,85.33,70,46,5.82,scattered clouds
265,Saint-Doulchard,FR,47.1037,2.352,35.98,96,90,6.71,overcast clouds
266,Miquelon,PM,47.0975,-56.3814,33.8,97,100,30.82,light snow
267,Komsomolskiy,UZ,40.4272,71.7189,56.12,62,0,6.91,clear sky
268,Nkhotakota,MW,-12.9274,34.2961,70.97,89,51,4.09,light rain
269,Casablanca,MA,33.5928,-7.6192,60.33,67,100,11.01,overcast clouds
270,Puerto Del Rosario,ES,28.5004,-13.8627,62.35,63,40,4.61,scattered clouds
271,Lavrentiya,RU,65.5833,-171.0,12.0,69,0,12.95,clear sky
272,Gizo,SB,-8.103,156.8419,83.53,72,92,7.58,light rain
273,Banjar,ID,-8.19,114.9675,83.7,71,100,1.68,overcast clouds
274,Amahai,ID,-3.3333,128.9167,83.52,71,99,0.98,overcast clouds
275,Ponta Delgada,PT,37.7333,-25.6667,59.72,82,20,10.36,few clouds
276,Zeya,RU,53.75,127.2667,35.89,78,100,6.78,overcast clouds
277,Loksa,EE,59.5764,25.7214,28.45,75,3,7.76,clear sky
278,Abnub,EG,27.2696,31.1511,71.82,8,100,5.26,overcast clouds
279,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.48,87,49,5.88,scattered clouds
280,San Carlos,VE,9.6612,-68.5827,87.8,39,44,2.1,scattered clouds
281,Qrendi,MT,35.8347,14.4583,54.1,76,20,8.05,few clouds
282,Maniitsoq,GL,65.4167,-52.9,29.61,92,100,7.49,overcast clouds
283,Wenling,CN,28.3669,121.36,52.7,62,0,10.2,clear sky
284,Bambanglipuro,ID,-7.95,110.2833,80.94,77,10,1.83,clear sky
285,Inverness,GB,57.4791,-4.224,37.98,81,100,5.75,overcast clouds
286,Kalmunai,LK,7.4167,81.8167,77.43,86,47,6.38,scattered clouds
287,Bemidji,US,47.4736,-94.8803,34.05,75,100,9.22,overcast clouds
288,Bengkulu,ID,-3.8004,102.2655,79.07,71,25,3.94,scattered clouds
289,Leshukonskoye,RU,64.8989,45.7622,13.08,96,85,2.98,overcast clouds
290,Karratha,AU,-20.7377,116.8463,84.52,66,4,4.85,clear sky
291,Kieta,PG,-6.2167,155.6333,83.5,77,16,8.03,light rain
292,Puerto Ayacucho,VE,5.6639,-67.6236,77.63,83,78,6.02,moderate rain
293,Boyolangu,ID,-8.1181,111.8935,80.47,82,17,1.59,few clouds
294,Stornoway,GB,58.2093,-6.3865,36.93,85,100,2.3,overcast clouds
295,Ankazoabo,MG,-22.2833,44.5167,68.7,67,0,3.8,clear sky
296,Ostersund,SE,63.1792,14.6357,27.61,86,40,6.91,scattered clouds
297,Adre,TD,13.4667,22.2,76.12,10,95,10.65,overcast clouds
298,Akyab,MM,20.15,92.9,79.29,78,9,2.93,clear sky
299,Montlucon,FR,46.3333,2.6,25.52,98,98,3.62,light snow
300,Olafsvik,IS,64.8945,-23.7142,42.69,98,100,10.58,moderate rain
301,Caramay,PH,10.1815,119.236,82.62,72,66,8.39,broken clouds
302,Kitami,JP,43.8031,143.8908,47.66,49,0,6.98,clear sky
303,Vrangel,RU,42.7297,133.0839,40.66,79,2,4.18,clear sky
304,Bilma,NE,18.6853,12.9164,81.05,5,94,6.87,overcast clouds
305,Chingirlau,KZ,51.095,54.0814,51.21,60,100,14.67,overcast clouds
306,Saint-Georges,GD,12.0564,-61.7485,80.28,74,75,23.02,broken clouds
307,Powell River,CA,49.8496,-124.5361,50.27,86,100,8.01,overcast clouds
308,Laguna,US,38.421,-121.4238,82.69,19,0,13.8,clear sky
309,Almenara,BR,-16.1836,-40.6944,70.45,90,1,1.25,light rain
310,Tual,ID,-5.6667,132.75,82.04,65,45,4.25,scattered clouds
311,Kaseda,JP,31.4167,130.3167,55.8,59,100,3.94,overcast clouds
312,Neiafu,TO,-18.65,-173.9833,86.68,70,75,9.22,broken clouds
313,Khowai,IN,24.1,91.6333,76.78,83,5,4.34,clear sky
314,San Isidro,PE,-12.1167,-77.05,77.02,64,20,18.41,few clouds
315,Hellvik,NO,59.9156,5.781,37.78,88,100,4.14,overcast clouds
316,Kolpashevo,RU,58.3131,82.9089,12.36,97,100,4.72,overcast clouds
317,Staritsa,RU,56.5075,34.9354,25.88,93,100,13.22,overcast clouds
318,Boddam,GB,57.4667,-1.7833,33.44,76,100,13.87,overcast clouds
319,Jonava,LT,55.0833,24.2833,26.73,76,16,5.75,few clouds
320,Mykolayiv,UA,46.9659,31.9974,46.63,93,14,4.56,few clouds
321,Mantenopolis,BR,-18.8625,-41.1228,69.67,84,1,4.07,clear sky
322,Riviere-Au-Renard,CA,48.9957,-64.3971,35.89,78,31,30.36,scattered clouds
323,Kikwit,CD,-5.041,18.8162,69.98,95,100,0.72,overcast clouds
324,Makurdi,NG,7.7411,8.5121,82.53,62,73,9.17,broken clouds
325,Huanren,CN,41.2647,125.3667,48.78,38,0,4.92,clear sky
326,Huarmey,PE,-10.0681,-78.1522,70.05,83,69,10.09,broken clouds
327,Wanning,CN,18.8003,110.3967,65.41,75,100,15.5,overcast clouds
328,Aginskoye,RU,51.1,114.53,48.29,31,99,17.18,overcast clouds
329,Sisimiut,GL,66.9395,-53.6735,25.79,96,100,4.68,overcast clouds
330,Talnakh,RU,69.4865,88.3972,4.21,96,99,5.55,overcast clouds
331,Chilca,PE,-12.5211,-76.7372,67.96,89,98,8.12,overcast clouds
332,Moerai,PF,-22.4333,-151.3333,81.19,75,100,10.67,overcast clouds
333,Churapcha,RU,62.0025,132.4325,21.36,89,100,8.75,overcast clouds
334,Benguela,AO,-12.5763,13.4055,76.24,84,100,3.22,overcast clouds
335,Roald,NO,62.5833,6.1333,38.75,93,100,11.5,light snow
336,Takoradi,GH,4.8845,-1.7554,80.28,87,100,9.01,light rain
337,Erenhot,CN,43.6475,111.9767,45.63,23,0,18.97,clear sky
338,Abha,SA,18.2164,42.5053,59.25,17,0,0.0,clear sky
339,Caninde,BR,-4.3589,-39.3117,71.13,96,73,1.5,broken clouds
340,Hasaki,JP,35.7333,140.8333,52.29,57,100,14.81,light rain
341,Homer,US,59.6425,-151.5483,41.77,78,75,0.0,broken clouds
342,Guerrero Negro,MX,27.9769,-114.0611,62.42,66,71,14.74,broken clouds
343,Rudnyy,KZ,52.9594,63.1206,35.83,88,100,8.81,overcast clouds
344,Cap Malheureux,MU,-19.9842,57.6142,76.46,90,100,8.99,light rain
345,Provideniya,RU,64.3833,-173.3,18.36,52,0,11.88,clear sky
346,Palimbang,PH,6.2106,124.1894,78.3,87,100,3.98,light rain
347,Nuuk,GL,64.1835,-51.7216,32.61,93,100,3.44,overcast clouds
