City_ID,City,Country,Date,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Lakes Entrance,AU,2022-04-02 20:02:16,-37.8811,147.981,60.17,93,100,12.33
154,Bacolod,PH,2022-04-02 20:02:16,10.6667,122.95,77.77,82,100,11.59
155,Severo-Kurilsk,RU,2022-04-02 19:59:25,50.6789,156.125,27.59,66,100,28.34
156,Pevek,RU,2022-04-02 20:02:17,69.7008,170.3133,-7.94,96,100,1.9
157,Bluff,NZ,2022-04-02 20:01:11,-46.6,168.3333,57.0,73,85,20.18
158,Porto Novo,BJ,2022-04-02 20:00:33,6.4965,2.6036,82.94,78,100,11.01
159,Seoul,KR,2022-04-02 20:00:12,37.5683,126.9778,35.04,49,0,0.89
160,Guerrero Negro,MX,2022-04-02 20:02:18,27.9769,-114.0611,67.41,52,54,13.27
161,Dhidhdhoo,MV,2022-04-02 20:02:18,6.8833,73.1,82.09,75,4,3.6
162,Tazovskiy,RU,2022-04-02 20:02:19,67.4667,78.7,-2.97,100,90,6.15
163,Jalu,LY,2022-04-02 20:02:19,29.0331,21.5482,77.77,11,100,6.42
164,Hami,CN,2022-04-02 20:02:19,42.8,93.45,52.88,15,58,5.01
165,Kutum,SD,2022-04-02 20:02:20,14.2,24.6667,77.34,11,41,9.37
166,Arlit,NE,2022-04-02 20:02:20,18.7369,7.3853,91.42,3,100,7.36
167,Harnosand,SE,2022-04-02 20:02:20,62.6323,17.9379,32.02,68,76,12.41
168,Santiago,CL,2022-04-02 19:57:26,-33.4569,-70.6483,81.28,22,0,12.66
169,Carnarvon,AU,2022-04-02 20:02:21,-24.8667,113.6333,77.09,82,10,11.16
170,Williston,US,2022-04-02 20:02:21,48.147,-103.618,53.82,31,99,4.0
171,Orbetello,IT,2022-04-02 20:02:22,42.4408,11.2196,43.88,73,24,4.43
172,Chernushka,RU,2022-04-02 20:02:22,56.5072,56.0766,34.0,100,100,4.45
173,Necochea,AR,2022-04-02 20:00:13,-38.5473,-58.7368,68.94,45,0,18.16
174,Ulagan,RU,2022-04-02 20:02:23,50.6321,87.9563,24.69,91,78,3.4
175,Leh,IN,2022-04-02 20:02:23,34.1667,77.5833,26.02,67,2,3.04
176,Haverfordwest,GB,2022-04-02 20:01:05,51.8017,-4.9691,41.56,88,8,6.93
177,Penarroya-Pueblonuevo,ES,2022-04-02 20:02:23,38.3,-5.2667,48.45,50,96,6.24
178,Bangolo,CI,2022-04-02 20:02:24,7.0069,-7.475,73.87,95,97,1.79
179,Lompoc,US,2022-04-02 20:02:24,34.6391,-120.4579,71.02,75,100,10.36
180,Lebu,CL,2022-04-02 20:02:25,-37.6167,-73.65,59.25,94,100,9.4
181,Marovoay,MG,2022-04-02 20:03:25,-16.1,46.6333,75.88,77,0,0.54
182,Nikolskoye,RU,2022-04-02 20:03:25,59.7035,30.7861,28.8,96,9,3.49
183,Butaritari,KI,2022-04-02 20:03:26,3.0707,172.7902,81.43,76,86,16.58
184,Ostrovnoy,RU,2022-04-02 20:03:26,68.0531,39.5131,15.85,92,80,15.43
185,Dese,ET,2022-04-02 20:03:26,11.1333,39.6333,56.95,68,69,1.1
186,Nishihara,JP,2022-04-02 20:03:27,26.1842,127.7558,63.68,78,40,6.91
187,Saskylakh,RU,2022-04-02 20:03:27,71.9167,114.0833,1.38,97,98,9.13
188,Carutapera,BR,2022-04-02 20:03:27,-1.195,-46.02,81.41,80,63,8.79
189,Chikodi,IN,2022-04-02 20:00:22,16.4333,74.6,74.5,66,15,8.05
190,Mana,GF,2022-04-02 20:03:28,5.6592,-53.7767,78.71,86,95,13.35
191,Elizabeth City,US,2022-04-02 20:03:28,36.2946,-76.2511,62.62,49,28,10.38
192,Muros,ES,2022-04-02 20:03:28,42.7762,-9.0603,50.09,59,0,17.34
193,Port-Cartier,CA,2022-04-02 20:03:29,50.0334,-66.8654,38.75,79,90,19.51
194,Maragogi,BR,2022-04-02 20:02:46,-9.0122,-35.2225,80.11,76,14,6.46
195,Altay,CN,2022-04-02 20:03:29,47.8667,88.1167,33.89,53,50,8.77
196,Zhuhai,CN,2022-04-02 20:03:30,22.2769,113.5678,60.58,67,40,18.41
197,Tyukhtet,RU,2022-04-02 20:03:30,56.5389,89.3011,15.84,98,99,1.43
198,Victoria Point,AU,2022-04-02 20:03:31,-27.5833,153.3,69.15,95,78,3.58
199,Salalah,OM,2022-04-02 20:03:31,17.0151,54.0924,78.8,53,93,2.82
200,Santa Maria,BR,2022-04-02 20:03:31,-29.6842,-53.8069,75.18,57,0,7.11
201,Kohlu,PK,2022-04-02 20:03:32,29.8962,69.252,70.29,10,0,12.73
202,Macas,EC,2022-04-02 20:03:32,-2.3167,-78.1167,69.21,98,100,2.21
203,Raudeberg,NO,2022-04-02 20:03:33,61.9875,5.1352,36.27,93,100,6.02
204,Hasaki,JP,2022-04-02 20:03:33,35.7333,140.8333,43.2,67,100,11.56
205,Clevelandia,BR,2022-04-02 20:01:24,-26.3958,-52.4708,66.78,80,96,4.99
206,Gummidipundi,IN,2022-04-02 20:03:33,13.4,80.15,84.2,89,5,9.37
207,Naze,JP,2022-04-02 20:03:34,28.3667,129.4833,60.51,71,98,14.74
208,Lalibela,ET,2022-04-02 20:03:34,12.0333,39.0333,64.31,57,12,10.04
209,Moose Factory,CA,2022-04-02 20:03:34,51.2585,-80.6094,34.45,99,100,3.91
210,Rio Grande,BR,2022-04-02 20:03:28,-32.035,-52.0986,71.94,64,48,13.67
211,Carballo,ES,2022-04-02 20:03:35,43.213,-8.691,49.01,68,1,9.31
212,Cherskiy,RU,2022-04-02 20:03:24,68.75,161.3,-13.4,100,90,1.05
213,Srbac,BA,2022-04-02 20:03:35,45.0978,17.525,37.53,94,64,1.36
214,Tuatapere,NZ,2022-04-02 20:03:36,-46.1333,167.6833,48.47,91,40,2.89
215,Namatanai,PG,2022-04-02 20:03:36,-3.6667,152.4333,76.96,89,100,6.38
216,Bandarbeyla,SO,2022-04-02 20:03:37,9.4942,50.8122,79.07,80,86,4.29
217,Gambo,CF,2022-04-02 20:03:37,4.6482,22.2633,74.14,79,83,5.06
218,Henties Bay,NA,2022-04-02 20:03:37,-22.116,14.2845,61.25,84,0,10.27
219,Hidrolandia,BR,2022-04-02 20:03:38,-4.4081,-40.4378,77.72,85,95,4.27
220,Morondava,MG,2022-04-02 20:03:38,-20.2833,44.2833,79.39,75,0,7.99
221,Provideniya,RU,2022-04-02 20:00:53,64.3833,-173.3,14.27,62,0,9.15
